carrier_id,highlights,product_name,,deductible,coinsurance,plan_pdf_file,dr_visit_copay,rx_copay,oop_max_indiv,specialist_visits_copay,er_copay,urgent_care_copay,outpatient_diagnostic_lab,in_patient_hospital,outpatient_surgery,rx_mail_copay,deductible_family,oon_deductible_individual,oon_deductible_family,oop_max_family,oon_oop_max_individual,oon_oop_max_family,outpatient_diagnostic_x_ray,outpatient_complex_imaging,physical_occupational_therapy,start_date,end_date,states,group_rating_areas,service_zones,zero_eighteen,nineteen_twenty,twenty_one,twenty_two,twenty_three,twenty_four,twenty_five,twenty_six,twenty_seven,twenty_eight,twenty_nine,thirty,thirty_one,thirty_two,thirty_three,thirty_four,thirty_five,thirty_six,thirty_seven,thirty_eight,thirty_nine,forty,forty_one,forty_two,forty_three,forty_four,forty_five,forty_six,forty_seven,forty_eight,forty_nine,fifty,fifty_one,fifty_two,fifty_three,fifty_four,fifty_five,fifty_six,fifty_seven,fifty_eight,fifty_nine,sixty,sixty_one,sixty_two,sixty_three,sixty_four,sixty_five_plus
10,x,NJ Bronze AWH Meridian OAEPO 3000 100/50 E (6),NJ Bronze AWH Meridian OAEPO 3000 100/50 E (6) ,3000,,,$30 after deductible,$20/50% up to $125/50% up to $150,7150,$60 after deductible,$100 + 50% after deductible,$60 after deductible,Independent lab: $35 after deductible Facility-owned lab: $35 after deductible,$500/d ($2500 max after deductible),Independent lab: 50% after deductible Facility-owned lab: 50% after deductible,,6000,3000,6000,14300,7150,14300,Independent lab: 50% after deductible Facility-owned lab: 50% after deductible,Independent lab: 50% after deductible Facility-owned lab: 50% after deductible,$50 after deductible,4/1/17,6/31/17,NJ,101,,194.53,194.53,324.22,324.22,324.22,324.22,324.22,324.22,324.22,324.22,330.7,333.82,338.48,343.15,346.01,349.12,350.67,352.23,353.53,355.08,358.2,361.31,365.72,370.13,370.13,383.36,391.92,402.03,413.18,425.63,437.82,451.57,464.8,479.07,493.33,508.63,523.68,539.5,555.58,572.18,591.37,591.37,591.37,591.37,591.37,591.37,591.37
10,x,NJ Bronze AWH Virtua OAEPO 3000 100/50 E (7),NJ Bronze AWH Virtua OAEPO 3000 100/50 E (7) ,3000,,,$30 after deductible,$20/50% up to $125/50% up to $150,7150,$60 after deductible,$100 + 50% after deductible,$60 after deductible,Independent lab: $35 after deductible Facility-owned lab: $35 after deductible,$500/d ($2500 max after deductible),Independent lab: 50% after deductible Facility-owned lab: 50% after deductible,,6000,3000,6000,14300,7150,14300,Independent lab: 50% after deductible Facility-owned lab: 50% after deductible,Independent lab: 50% after deductible Facility-owned lab: 50% after deductible,$50 after deductible,4/1/17,6/31/17,NJ,101,,200.02,200.02,333.37,333.37,333.37,333.37,333.37,333.37,333.37,333.37,340.04,343.24,348.04,352.84,355.78,358.98,360.58,362.18,363.51,365.11,368.31,371.51,376.04,380.58,380.58,394.18,402.98,413.38,424.85,437.65,450.19,464.32,477.92,492.59,507.26,523,538.46,554.73,571.27,588.34,608.07,608.07,608.07,608.07,608.07,608.07,608.07
10,x,NJ Bronze OAEPO 2500 50% HSA TIF,NJ Bronze OAEPO 2500 50% HSA TIF ,2500,,,50% after deductible,50% after deductible,6450,50% after deductible,$100 + 50% after deductible,50% after deductible,Independent lab: $30 after deductible Facility-owned lab: $30 after deductible,$300/d ($1500 max after deductible),Independent lab: 50% after deductible Facility-owned lab: 50% after deductible,,5000,n/a,n/a,6450,n/a,n/a,Independent lab: 50% after deductible Facility-owned lab: 50% after deductible,Independent lab: 50% after deductible Facility-owned lab: 50% after deductible,$30 after deductible,4/1/17,6/31/17,NJ,101,,232.8,232.8,387.99,387.99,387.99,387.99,387.99,387.99,387.99,387.99,395.75,399.48,405.07,410.65,414.07,417.79,419.66,421.52,423.07,424.93,428.66,432.38,437.66,442.94,442.94,458.77,469.01,481.11,494.46,509.36,523.95,540.4,556.23,573.3,590.37,608.69,626.69,645.62,664.87,684.73,707.7,707.7,707.7,707.7,707.7,707.7,707.7
10,x,NJ Bronze OAEPO 3000 50% HSA TIF,NJ Bronze OAEPO 3000 50% HSA TIF ,3000,,,50% after deductible,50% after deductible,6450,50% after deductible,$100 + 50% after deductible,50% after deductible,Independent lab: $30 after deductible Facility-owned lab: $30 after deductible,$300/d ($1500 max after deductible),Independent lab: 50% after deductible Facility-owned lab: 50% after deductible,,6000,n/a,n/a,6450,n/a,n/a,Independent lab: 50% after deductible Facility-owned lab: 50% after deductible,Independent lab: 50% after deductible Facility-owned lab: 50% after deductible,$30 after deductible,4/1/17,6/31/17,NJ,101,,222.38,222.38,370.63,370.63,370.63,370.63,370.63,370.63,370.63,370.63,378.05,381.61,386.94,392.28,395.54,399.1,400.88,402.66,404.14,405.92,409.48,413.04,418.08,423.12,423.12,438.24,448.02,459.59,472.34,486.57,500.51,516.22,531.34,547.65,563.96,581.45,598.65,616.74,635.12,654.1,676.04,676.04,676.04,676.04,676.04,676.04,676.04
10,x,NJ Bronze OAMC 2500 50/50 HSA TIF,NJ Bronze OAMC 2500 50/50 HSA TIF ,2500,,,50% after deductible,50% after deductible,6450,50% after deductible,$100 + 50% after deductible,50% after deductible,"Independent lab: $30 after deductibleFacility-owned lab: $30 after deductible",$300/d ($1500 max after deductible),"Independent lab: 50% after deductibleFacility-owned lab: 50% after deductible",,5000,5000,10000,6450,10000,20000,"Independent lab: 50% after deductibleFacility-owned lab: 50% after deductible","Independent lab: 50% after deductibleFacility-owned lab: 50% after deductible",$30 after deductible,4/1/17,6/31/17,NJ,101,,256.55,256.55,427.58,427.58,427.58,427.58,427.58,427.58,427.58,427.58,436.14,440.24,446.4,452.55,456.32,460.42,462.47,464.53,466.24,468.29,472.39,476.5,482.31,488.13,488.13,505.57,516.86,530.2,544.91,561.33,577.41,595.54,612.98,631.8,650.61,670.79,690.63,711.5,732.71,754.6,779.91,779.91,779.91,779.91,779.91,779.91,779.91
10,x,NJ Bronze OAMC 3000 50/50 HSA TIF6,NJ Bronze OAMC 3000 50/50 HSA TIF ,3000,,,50% after deductible,50% after deductible,6450,50% after deductible,$100 + 50% after deductible,50% after deductible,"Independent lab: $30 after deductibleFacility-owned lab: $30 after deductible",$300/d ($1500 max),"Independent lab: 50% after deductibleFacility-owned lab: 50% after deductible",,6000,5000,10000,6450,10000,20000,"Independent lab: 50% after deductibleFacility-owned lab: 50% after deductible","Independent lab: 50% after deductibleFacility-owned lab: 50% after deductible",$30 after deductible,4/1/17,6/31/17,NJ,101,,245.56,245.56,409.27,409.27,409.27,409.27,409.27,409.27,409.27,409.27,417.46,421.39,427.28,433.18,436.78,440.71,442.67,444.64,446.27,448.24,452.17,456.1,461.66,467.23,467.23,483.93,494.73,507.5,521.58,537.3,552.68,570.04,586.74,604.74,622.75,642.07,661.06,681.03,701.33,722.29,746.52,746.52,746.52,746.52,746.52,746.52,746.52
10,x,NJ Gold AWH Meridian OAEPO 25/50 500D E (6),NJ Gold AWH Meridian OAEPO 25/50 500D E (6) ,0,,,$25 ,$20/50% up to $125/50% up to $150,4000,$50 ,$100 ,$50 ,Independent lab: $15 Facility-owned lab: $15,$500/d ($2500 max after deductible),Independent lab: $500% Facility-owned lab: $500,,0,2500,5000,8000,6250,12500,Independent lab: $50 Facility-owned lab: $50,Independent lab: 30% Facility-owned lab: 30%,$50 ,4/1/17,6/31/17,NJ,101,,315.69,315.69,526.16,526.16,526.16,526.16,526.16,526.16,526.16,526.16,536.68,541.73,549.31,556.88,561.51,566.57,569.09,571.62,573.72,576.25,581.3,586.35,593.5,600.66,600.66,622.13,636.02,652.43,670.53,690.74,710.52,732.83,754.3,777.45,800.6,825.43,849.85,875.52,901.62,928.56,959.71,959.71,959.71,959.71,959.71,959.71,959.71
10,x,NJ Gold AWH Meridian OAEPO 30/50 500D E (6),NJ Gold AWH Meridian OAEPO 30/50 500D E (6) ,0,,,$30 ,$20/50% up to $125/50% up to $150,6600,$50 ,$100 ,$50 ,Independent lab: $15 Facility-owned lab: $15,$500/d ($2500 max after deductible),Independent lab: $500% Facility-owned lab: $500,,0,2500,5000,13200,6600,13200,Independent lab: $50 Facility-owned lab: $50,Independent lab: 40% Facility-owned lab: 40%,$20 ,4/1/17,6/31/17,NJ,101,,314.65,314.65,524.42,524.42,524.42,524.42,524.42,524.42,524.42,524.42,534.91,539.95,547.5,555.05,559.67,564.7,567.22,569.73,571.83,574.35,579.38,584.42,591.55,598.68,598.68,620.08,633.92,650.29,668.33,688.46,708.18,730.42,751.81,774.89,797.96,822.72,847.05,872.64,898.65,925.5,956.55,956.55,956.55,956.55,956.55,956.55,956.55
10,x,NJ Gold AWH Virtua OAEPO 25/50 500D E (7),NJ Gold AWH Virtua OAEPO 25/50 500D E (7) ,0,,,$25 ,$20/50% up to $125/50% up to $150,4000,$50 ,$100 ,$50 ,Independent lab: $15 Facility-owned lab: $15,$500/d ($2500 max),Independent lab: $500% Facility-owned lab: $500,,0,2500,5000,8000,6250,12500,Independent lab: $50 Facility-owned lab: $50,Independent lab: 30% Facility-owned lab: 30%,$50 ,4/1/17,6/31/17,NJ,101,,324.61,324.61,541.01,541.01,541.01,541.01,541.01,541.01,541.01,541.01,551.83,557.03,564.82,572.61,577.37,582.56,585.16,587.76,589.92,592.52,597.71,602.9,610.26,617.62,617.62,639.69,653.98,670.86,689.47,710.24,730.58,753.52,775.6,799.4,823.21,848.74,873.84,900.25,927.08,954.78,986.81,986.81,986.81,986.81,986.81,986.81,986.81
10,x,NJ Gold AWH Virtua OAEPO 30/50 500D E (7),NJ Gold AWH Virtua OAEPO 30/50 500D E (7) ,0,,,$30 ,$20/50% up to $125/50% up to $150,6600,$50 ,$100 ,$50 ,Independent lab: $15 Facility-owned lab: $15,$500/d ($2500 max),Independent lab: $500% Facility-owned lab: $500,,0,2500,5000,13200,6600,13200,Independent lab: $50 Facility-owned lab: $50,Independent lab: 40% Facility-owned lab: 40%,$20 ,4/1/17,6/31/17,NJ,101,,323.54,323.54,539.23,539.23,539.23,539.23,539.23,539.23,539.23,539.23,550.01,555.19,562.96,570.72,575.47,580.64,583.23,585.82,587.98,590.56,595.74,600.92,608.25,615.59,615.59,637.59,651.82,668.65,687.2,707.9,728.18,751.04,773.04,796.77,820.49,845.94,870.96,897.28,924.02,951.63,983.56,983.56,983.56,983.56,983.56,983.56,983.56
